[2024/04/20 17:09:40] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:09:40] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:09:40] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  3/10][Iter  50/100] lr: 0.00200, loss: 0.00726, EQ: 0.00726, batch_cost: 0.00073s, reader_cost: 0.00004s, ips: 43812.72, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  3/10][Iter  60/100] lr: 0.00200, loss: 0.00684, EQ: 0.00684, batch_cost: 0.00073s, reader_cost: 0.00004s, ips: 43837.49, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  3/10][Iter  70/100] lr: 0.00200, loss: 0.00648, EQ: 0.00648, batch_cost: 0.00073s, reader_cost: 0.00004s, ips: 43671.13, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  3/10][Iter  80/100] lr: 0.00200, loss: 0.00625, EQ: 0.00625, batch_cost: 0.00073s, reader_cost: 0.00004s, ips: 43942.40, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  3/10][Iter  90/100] lr: 0.00200, loss: 0.00609, EQ: 0.00609, batch_cost: 0.00073s, reader_cost: 0.00004s, ips: 43830.36, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  3/10][Iter 100/100] lr: 0.00200, loss: 0.00595, EQ: 0.00595, batch_cost: 0.00073s, reader_cost: 0.00004s, ips: 43968.72, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  10/100] lr: 0.00200, loss: 0.00364, EQ: 0.00364, batch_cost: 0.00070s, reader_cost: 0.00005s, ips: 45979.57, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  20/100] lr: 0.00200, loss: 0.00344, EQ: 0.00344, batch_cost: 0.00071s, reader_cost: 0.00005s, ips: 45204.63, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  30/100] lr: 0.00200, loss: 0.00346, EQ: 0.00346, batch_cost: 0.00071s, reader_cost: 0.00004s, ips: 45110.21, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  40/100] lr: 0.00200, loss: 0.00376, EQ: 0.00376, batch_cost: 0.00070s, reader_cost: 0.00004s, ips: 45687.74, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  50/100] lr: 0.00200, loss: 0.00369, EQ: 0.00369, batch_cost: 0.00070s, reader_cost: 0.00005s, ips: 45469.31, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  60/100] lr: 0.00200, loss: 0.00361, EQ: 0.00361, batch_cost: 0.00071s, reader_cost: 0.00005s, ips: 45097.28, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  70/100] lr: 0.00200, loss: 0.00351, EQ: 0.00351, batch_cost: 0.00071s, reader_cost: 0.00005s, ips: 44866.54, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  80/100] lr: 0.00200, loss: 0.00342, EQ: 0.00342, batch_cost: 0.00071s, reader_cost: 0.00005s, ips: 45110.33, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter  90/100] lr: 0.00200, loss: 0.00342, EQ: 0.00342, batch_cost: 0.00072s, reader_cost: 0.00005s, ips: 44462.50, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  4/10][Iter 100/100] lr: 0.00200, loss: 0.00341, EQ: 0.00341, batch_cost: 0.00072s, reader_cost: 0.00005s, ips: 44561.94, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  10/100] lr: 0.00200, loss: 0.00306, EQ: 0.00306, batch_cost: 0.00084s, reader_cost: 0.00005s, ips: 37928.62, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  20/100] lr: 0.00200, loss: 0.00312, EQ: 0.00312, batch_cost: 0.00079s, reader_cost: 0.00005s, ips: 40494.62, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  30/100] lr: 0.00200, loss: 0.00445, EQ: 0.00445, batch_cost: 0.00079s, reader_cost: 0.00005s, ips: 40741.52, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  5/10][Iter  40/100] lr: 0.00200, loss: 0.00436, EQ: 0.00436, batch_cost: 0.00079s, reader_cost: 0.00005s, ips: 40454.33, eta: 0:00:00
