[2024/04/20 17:58:11] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:58:11] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:58:11] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:58:11] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:58:12] ppsci INFO: [Train][Epoch  3/10][Iter  30/100] lr: 0.00200, loss: 0.00650, EQ: 0.00631, BC: 0.00019, batch_cost: 0.00155s, reader_cost: 0.00009s, ips: 21334.04, eta: 0:00:01
[2024/04/20 17:58:12] ppsci INFO: [Train][Epoch  3/10][Iter  40/100] lr: 0.00200, loss: 0.00604, EQ: 0.00587, BC: 0.00016, batch_cost: 0.00153s, reader_cost: 0.00009s, ips: 21621.47, eta: 0:00:01
[2024/04/20 17:58:12] ppsci INFO: [Train][Epoch  3/10][Iter  50/100] lr: 0.00200, loss: 0.00551, EQ: 0.00535, BC: 0.00016, batch_cost: 0.00153s, reader_cost: 0.00010s, ips: 21549.87, eta: 0:00:01
[2024/04/20 17:58:12] ppsci INFO: [Train][Epoch  3/10][Iter  60/100] lr: 0.00200, loss: 0.00515, EQ: 0.00495, BC: 0.00019, batch_cost: 0.00153s, reader_cost: 0.00010s, ips: 21544.42, eta: 0:00:01
[2024/04/20 17:58:12] ppsci INFO: [Train][Epoch  3/10][Iter  70/100] lr: 0.00200, loss: 0.00485, EQ: 0.00464, BC: 0.00022, batch_cost: 0.00153s, reader_cost: 0.00009s, ips: 21617.08, eta: 0:00:01
[2024/04/20 17:58:12] ppsci INFO: [Train][Epoch  3/10][Iter  80/100] lr: 0.00200, loss: 0.00455, EQ: 0.00432, BC: 0.00024, batch_cost: 0.00152s, reader_cost: 0.00009s, ips: 21695.58, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  3/10][Iter  90/100] lr: 0.00200, loss: 0.00433, EQ: 0.00408, BC: 0.00025, batch_cost: 0.00152s, reader_cost: 0.00009s, ips: 21680.34, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  3/10][Iter 100/100] lr: 0.00200, loss: 0.00409, EQ: 0.00385, BC: 0.00024, batch_cost: 0.00151s, reader_cost: 0.00009s, ips: 21853.22, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  10/100] lr: 0.00200, loss: 0.00184, EQ: 0.00162, BC: 0.00022, batch_cost: 0.00156s, reader_cost: 0.00008s, ips: 21185.73, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  20/100] lr: 0.00200, loss: 0.00167, EQ: 0.00147, BC: 0.00020, batch_cost: 0.00157s, reader_cost: 0.00009s, ips: 21015.35, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  30/100] lr: 0.00200, loss: 0.00160, EQ: 0.00145, BC: 0.00015, batch_cost: 0.00154s, reader_cost: 0.00008s, ips: 21380.25, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  40/100] lr: 0.00200, loss: 0.00169, EQ: 0.00143, BC: 0.00026, batch_cost: 0.00156s, reader_cost: 0.00008s, ips: 21152.65, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  50/100] lr: 0.00200, loss: 0.00177, EQ: 0.00142, BC: 0.00035, batch_cost: 0.00156s, reader_cost: 0.00008s, ips: 21172.65, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  60/100] lr: 0.00200, loss: 0.00178, EQ: 0.00137, BC: 0.00040, batch_cost: 0.00155s, reader_cost: 0.00008s, ips: 21291.07, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  70/100] lr: 0.00200, loss: 0.00173, EQ: 0.00134, BC: 0.00039, batch_cost: 0.00155s, reader_cost: 0.00008s, ips: 21305.76, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  80/100] lr: 0.00200, loss: 0.00167, EQ: 0.00132, BC: 0.00036, batch_cost: 0.00162s, reader_cost: 0.00009s, ips: 20331.67, eta: 0:00:01
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter  90/100] lr: 0.00200, loss: 0.00162, EQ: 0.00129, BC: 0.00033, batch_cost: 0.00163s, reader_cost: 0.00009s, ips: 20287.58, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  4/10][Iter 100/100] lr: 0.00200, loss: 0.00157, EQ: 0.00126, BC: 0.00030, batch_cost: 0.00161s, reader_cost: 0.00009s, ips: 20506.50, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  10/100] lr: 0.00200, loss: 0.00117, EQ: 0.00094, BC: 0.00023, batch_cost: 0.00157s, reader_cost: 0.00012s, ips: 21040.47, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  20/100] lr: 0.00200, loss: 0.00125, EQ: 0.00090, BC: 0.00034, batch_cost: 0.00157s, reader_cost: 0.00010s, ips: 20991.72, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  30/100] lr: 0.00200, loss: 0.00131, EQ: 0.00098, BC: 0.00034, batch_cost: 0.00154s, reader_cost: 0.00010s, ips: 21420.03, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  40/100] lr: 0.00200, loss: 0.00145, EQ: 0.00099, BC: 0.00046, batch_cost: 0.00161s, reader_cost: 0.00011s, ips: 20476.86, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  50/100] lr: 0.00200, loss: 0.00152, EQ: 0.00099, BC: 0.00053, batch_cost: 0.00157s, reader_cost: 0.00011s, ips: 20956.25, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  60/100] lr: 0.00200, loss: 0.00162, EQ: 0.00101, BC: 0.00062, batch_cost: 0.00163s, reader_cost: 0.00012s, ips: 20292.35, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  70/100] lr: 0.00200, loss: 0.00157, EQ: 0.00101, BC: 0.00055, batch_cost: 0.00163s, reader_cost: 0.00012s, ips: 20280.44, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  80/100] lr: 0.00200, loss: 0.00148, EQ: 0.00099, BC: 0.00049, batch_cost: 0.00163s, reader_cost: 0.00011s, ips: 20251.72, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter  90/100] lr: 0.00200, loss: 0.00144, EQ: 0.00098, BC: 0.00046, batch_cost: 0.00162s, reader_cost: 0.00011s, ips: 20325.88, eta: 0:00:00
[2024/04/20 17:58:13] ppsci INFO: [Train][Epoch  5/10][Iter 100/100] lr: 0.00200, loss: 0.00150, EQ: 0.00100, BC: 0.00051, batch_cost: 0.00161s, reader_cost: 0.00011s, ips: 20512.69, eta: 0:00:00
