metrics-daemon/host/cpu_percent (%)/mean,metrics-daemon/host/cpu_percent (%)/min,metrics-daemon/host/cpu_percent (%)/max,metrics-daemon/host/cpu_percent (%)/last,metrics-daemon/host/memory_percent (%)/mean,metrics-daemon/host/memory_percent (%)/min,metrics-daemon/host/memory_percent (%)/max,metrics-daemon/host/memory_percent (%)/last,metrics-daemon/host/swap_percent (%)/mean,metrics-daemon/host/swap_percent (%)/min,metrics-daemon/host/swap_percent (%)/max,metrics-daemon/host/swap_percent (%)/last,metrics-daemon/host/memory_used (GiB)/mean,metrics-daemon/host/memory_used (GiB)/min,metrics-daemon/host/memory_used (GiB)/max,metrics-daemon/host/memory_used (GiB)/last,metrics-daemon/host/load_average (%) (1 min)/mean,metrics-daemon/host/load_average (%) (1 min)/min,metrics-daemon/host/load_average (%) (1 min)/max,metrics-daemon/host/load_average (%) (1 min)/last,metrics-daemon/host/load_average (%) (5 min)/mean,metrics-daemon/host/load_average (%) (5 min)/min,metrics-daemon/host/load_average (%) (5 min)/max,metrics-daemon/host/load_average (%) (5 min)/last,metrics-daemon/host/load_average (%) (15 min)/mean,metrics-daemon/host/load_average (%) (15 min)/min,metrics-daemon/host/load_average (%) (15 min)/max,metrics-daemon/host/load_average (%) (15 min)/last,metrics-daemon/gpu:0/memory_used (MiB)/mean,metrics-daemon/gpu:0/memory_used (MiB)/min,metrics-daemon/gpu:0/memory_used (MiB)/max,metrics-daemon/gpu:0/memory_used (MiB)/last,metrics-daemon/gpu:0/memory_free (MiB)/mean,metrics-daemon/gpu:0/memory_free (MiB)/min,metrics-daemon/gpu:0/memory_free (MiB)/max,metrics-daemon/gpu:0/memory_free (MiB)/last,metrics-daemon/gpu:0/memory_total (MiB)/mean,metrics-daemon/gpu:0/memory_total (MiB)/min,metrics-daemon/gpu:0/memory_total (MiB)/max,metrics-daemon/gpu:0/memory_total (MiB)/last,metrics-daemon/gpu:0/memory_percent (%)/mean,metrics-daemon/gpu:0/memory_percent (%)/min,metrics-daemon/gpu:0/memory_percent (%)/max,metrics-daemon/gpu:0/memory_percent (%)/last,metrics-daemon/gpu:0/gpu_utilization (%)/mean,metrics-daemon/gpu:0/gpu_utilization (%)/min,metrics-daemon/gpu:0/gpu_utilization (%)/max,metrics-daemon/gpu:0/gpu_utilization (%)/last,metrics-daemon/gpu:0/memory_utilization (%)/mean,metrics-daemon/gpu:0/memory_utilization (%)/min,metrics-daemon/gpu:0/memory_utilization (%)/max,metrics-daemon/gpu:0/memory_utilization (%)/last,metrics-daemon/gpu:0/fan_speed (%)/mean,metrics-daemon/gpu:0/fan_speed (%)/min,metrics-daemon/gpu:0/fan_speed (%)/max,metrics-daemon/gpu:0/fan_speed (%)/last,metrics-daemon/gpu:0/temperature (C)/mean,metrics-daemon/gpu:0/temperature (C)/min,metrics-daemon/gpu:0/temperature (C)/max,metrics-daemon/gpu:0/temperature (C)/last,metrics-daemon/gpu:0/power_usage (W)/mean,metrics-daemon/gpu:0/power_usage (W)/min,metrics-daemon/gpu:0/power_usage (W)/max,metrics-daemon/gpu:0/power_usage (W)/last,metrics-daemon/duration (s),metrics-daemon/timestamp,metrics-daemon/last_timestamp
16.7,16.7,16.7,16.7,42.5,42.5,42.5,42.5,0.0,0.0,0.0,0.0,6.279335021972656,6.279335021972656,6.279335021972656,6.279335021972656,1.69,1.69,1.69,1.69,0.9300000000000002,0.93,0.93,0.93,0.93,0.93,0.93,0.93,177.1875,177.1875,177.1875,177.1875,7805.125,7805.125,7805.125,7805.125,7982.3125,7982.3125,7982.3125,7982.3125,2.2,2.2,2.2,2.2,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,10.69,10.69,10.69,10.69,0.11600492499928805,1715492525.4922738,1715492525.3880455
18.373555246126845,16.4,19.6,16.4,45.37329025086643,42.4,46.7,46.7,0.0,0.0,0.0,0.0,6.732066723646771,6.269001007080078,6.936656951904297,6.936656951904297,1.69,1.69,1.69,1.69,0.9299999999999999,0.93,0.93,0.93,0.93,0.93,0.93,0.93,177.1875,177.1875,177.1875,177.1875,7805.125,7805.125,7805.125,7805.125,7982.3125,7982.3125,7982.3125,7982.3125,2.2,2.2,2.2,2.2,0.4756468423427424,0.0,1.0,0.0,6.32952310846841,3.0,10.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,10.604408213822548,10.516,10.69,10.516,2.1001445509991754,1715492527.4764135,1715492527.3856955
17.84848057714023,15.1,19.6,19.2,47.08135708963717,42.4,54.6,54.6,0.0,0.0,0.0,0.0,6.999161473798488,6.269001007080078,8.165428161621094,8.165428161621094,1.670911991104873,1.64,1.69,1.64,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,271.41868331342226,177.1875,874.1875,874.1875,7710.893368021778,7108.125,7805.125,7108.125,7982.312499999999,7982.3125,7982.3125,7982.3125,3.389734411998996,2.2,11.0,11.0,0.9221895038930807,0.0,5.0,5.0,6.043767249331025,0.0,10.0,0.0,0.0,0.0,0.0,0.0,40.13519930474188,40.0,41.0,41.0,13.444764265528363,10.516,31.531,31.531,4.057324900999447,1715492529.4335935,1715492529.3863766
14.501749613580179,7.9,19.6,7.9,50.00042159939187,42.4,58.9,58.9,0.0,0.0,0.0,0.0,7.450230503329162,6.269001007080078,8.835121154785156,8.835121154785156,1.660708669725098,1.64,1.69,1.64,0.9300000000000002,0.93,0.93,0.93,0.93,0.93,0.93,0.93,531.6204016181904,177.1875,1542.1875,1542.1875,7450.691637845039,6440.125,7805.125,6440.125,7982.3125,7982.3125,7982.3125,7982.3125,6.650350917491524,2.2,19.3,19.3,2.6158688366296654,0.0,18.0,18.0,5.40187048149241,0.0,15.0,15.0,0.0,0.0,0.0,0.0,40.67582945287205,40.0,42.0,42.0,22.536661294073454,10.516,45.726,45.726,6.056374325000434,1715492531.4326432,1715492531.3849564
13.904188916094807,7.9,19.6,9.8,52.26823201587828,42.4,59.2,59.2,0.0,0.0,0.0,0.0,7.801830451921025,6.269001007080078,8.88149642944336,8.88149642944336,1.6738799336730836,1.64,1.91,1.91,0.9347481817155994,0.93,1.0,1.0,0.9313566314225322,0.93,0.95,0.95,795.6213617809265,177.1875,1734.1875,1734.1875,7186.690829534497,6248.125,7805.125,6248.125,7982.3125,7982.3125,7982.3125,7982.3125,9.954722408517638,2.2,21.7,21.7,3.6607155692761015,0.0,18.0,10.0,5.381942899169652,0.0,15.0,7.0,0.0,0.0,0.0,0.0,41.072523965064825,40.0,43.0,43.0,28.795567378019737,10.516,54.929,54.929,8.057455009999103,1715492533.4337237,1715492533.3849823
12.809157035165615,7.4,19.6,7.4,53.661867384170826,42.4,59.3,59.3,0.0,0.0,0.0,0.0,8.018194264904695,6.269001007080078,8.897953033447266,8.897953033447266,1.7208295049765758,1.64,1.91,1.91,0.947722699524018,0.93,1.0,1.0,0.9350636337522689,0.93,0.95,0.95,982.2435423862194,177.1875,1734.1875,1734.1875,7000.068731817375,6248.125,7805.125,6248.125,7982.312500000001,7982.3125,7982.3125,7982.3125,12.290123436875158,2.2,21.7,21.7,3.3874358986185515,0.0,18.0,0.0,4.630035007030834,0.0,15.0,0.0,0.0,0.0,0.0,0.0,41.45577816280523,40.0,43.0,43.0,33.60724197220808,10.516,55.968,48.483,10.057196665999072,1715492535.4334652,1715492535.384928
12.254042561280833,7.4,19.6,9.9,54.59690723084384,42.4,59.3,59.3,0.0,0.0,0.0,0.0,8.164342361280548,6.269001007080078,8.901252746582031,8.896530151367188,1.7522019223964092,1.64,1.91,1.91,0.956392470066775,0.93,1.0,1.0,0.9375407092572463,0.93,0.95,0.95,1107.2029085629683,177.1875,1736.1875,1736.1875,6875.109457884173,6246.125,7805.125,6246.125,7982.312500000001,7982.3125,7982.3125,7982.3125,13.863452467196451,2.2,21.8,21.8,10.568683079980095,0.0,69.0,69.0,9.808535376060437,0.0,53.0,53.0,1.3992399593818867,0.0,31.0,31.0,42.185520316379375,40.0,48.0,48.0,40.330419811526255,10.516,105.475,105.475,12.056691951000175,1715492537.4329605,1715492537.384767
12.20005242051868,7.4,19.6,13.6,55.27295194667306,42.4,59.4,59.3,0.0,0.0,0.0,0.0,8.268771137400774,6.269001007080078,8.903755187988281,8.890399932861328,1.7921615067430594,1.64,2.07,2.07,0.9680684712256378,0.93,1.05,1.05,0.9404075642902899,0.93,0.96,0.96,1196.6680355109088,177.1875,1736.1875,1736.1875,6785.644365075143,6246.125,7805.125,6246.125,7982.3125,7982.3125,7982.3125,7982.3125,14.992325605220197,2.2,21.8,21.8,18.448217972379204,0.0,69.0,67.0,15.6298625818386,0.0,53.0,52.0,6.0474455985167515,0.0,35.0,35.0,43.0125557584056,40.0,48.0,48.0,49.56228417219355,10.516,107.177,102.926,14.055971747000513,1715492539.4322407,1715492539.385199
11.769452406697372,7.4,19.6,7.5,55.77432187249368,42.4,59.4,59.3,0.0,0.0,0.0,0.0,8.346767693883775,6.269001007080078,8.903755187988281,8.897796630859375,1.8267525474994328,1.64,2.07,2.07,0.9782689885235976,0.93,1.05,1.05,0.9428468319740042,0.93,0.96,0.96,1263.8384602056424,177.1875,1736.1875,1736.1875,6718.47396094572,6246.125,7805.125,6246.125,7982.3125,7982.3125,7982.3125,7982.3125,15.839883997459058,2.2,21.8,21.8,24.454003080533948,0.0,69.0,64.0,20.05171594462065,0.0,53.0,47.0,9.652048569448235,0.0,35.0,35.0,43.667149682022604,40.0,49.0,49.0,56.37837370874347,10.516,107.177,106.589,16.054795542000647,1715492541.4310641,1715492541.3848736
11.401794436373626,6.9,19.6,7.9,56.16490431922479,42.4,59.4,59.3,0.0,0.0,0.0,0.0,8.407645853099833,6.269001007080078,8.903755187988281,8.896732330322266,1.8537000455969546,1.64,2.07,2.07,0.9865149722441395,0.93,1.06,1.06,0.9450465613313213,0.93,0.97,0.97,1316.1663356733309,177.1875,1736.1875,1736.1875,6666.146106167831,6246.125,7805.125,6246.125,7982.312500000001,7982.3125,7982.3125,7982.3125,16.500158468459357,2.2,21.8,21.8,29.14998602778619,0.0,69.0,69.0,23.49221671887192,0.0,53.0,53.0,12.460149271825617,0.0,35.0,35.0,44.25793440618302,40.0,49.0,49.0,61.90349088776371,10.516,107.177,105.986,18.054961088999335,1715492543.43123,1715492543.383366
